Time,Power (%)
00:00:00,0.9541734182
00:05:00,0.9773287349
00:10:00,0.9622801223
00:15:00,0.950130499
00:20:00,0.9125612711
00:25:00,0.9498112287
00:30:00,0.9866267535
00:35:00,0.8343688823
00:40:00,0.9432149602
00:45:00,0.9089657896
00:50:00,0.8290502741
00:55:00,0.9322145956
01:00:00,0.9619135925
01:05:00,0.8180719683
01:10:00,0.9322770872
01:15:00,0.9746233749
01:20:00,0.9481106999
01:25:00,0.8636679371
01:30:00,0.8543544867
01:35:00,0.9532554178
01:40:00,0.838296425
01:45:00,0.9266423621
01:50:00,0.8922221956
01:55:00,0.8883076595
02:00:00,0.887094002
02:05:00,0.8075590132
02:10:00,0.92869597
02:15:00,0.9268792069
02:20:00,0.8468644901
02:25:00,0.8889400893
02:30:00,0.8067789751
02:35:00,0.8551858044
02:40:00,0.8161456188
02:45:00,0.9634890392
02:50:00,0.8108515156
02:55:00,0.9214410919
03:00:00,0.8458027299
03:05:00,0.9195997157
03:10:00,0.9285344794
03:15:00,0.9348095422
03:20:00,0.8575373902
03:25:00,0.8501196123
03:30:00,0.8465442742
03:35:00,0.8058249254
03:40:00,0.8181239759
03:45:00,0.8680786192
03:50:00,0.9290941101
03:55:00,0.991527126
04:00:00,0.9620793612
04:05:00,0.8685770833
04:10:00,0.9078082085
04:15:00,0.8878765495
04:20:00,0.9707203463
04:25:00,0.9155598396
04:30:00,0.8931598579
04:35:00,0.9618436011
04:40:00,0.8063966395
04:45:00,0.8714543333
04:50:00,0.8437395156
04:55:00,0.9367861317
05:00:00,0.8924006096
05:05:00,0.8732426671
05:10:00,0.980163557
05:15:00,0.8807862188
05:20:00,0.9551524573
05:25:00,0.8348691921
05:30:00,0.9396330897
05:35:00,0.8383421707
05:40:00,0.8011094365
05:45:00,0.9617612322
05:50:00,0.9692453888
05:55:00,0.8937910226
06:00:00,0.8827309571
06:05:00,0.9701716641
06:10:00,0.8023146961
06:15:00,0.9792340162
06:20:00,0.8413780235
06:25:00,0.9304536201
06:30:00,0.8724032605
06:35:00,0.8478294658
06:40:00,0.8579227173
06:45:00,0.8095516269
06:50:00,0.8445396668
06:55:00,0.8031751432
07:00:00,0.9953368561
07:05:00,0.8074075842
07:10:00,0.9765254628
07:15:00,0.8863910887
07:20:00,0.9128235578
07:25:00,0.8846599936
07:30:00,0.9900139533
07:35:00,0.9246002493
07:40:00,0.9309916763
07:45:00,0.9915164155
07:50:00,0.8338318305
07:55:00,0.9102145288
08:00:00,0.8369834193
08:05:00,0.8369098478
08:10:00,0.9208984619
08:15:00,0.845837351
08:20:00,0.8766170712
08:25:00,0.8683737488
08:30:00,0.9738963464
08:35:00,0.9977532956
08:40:00,0.9458901596
08:45:00,0.8497841512
08:50:00,0.8193170586
08:55:00,0.8631886718
09:00:00,0.8064540018
09:05:00,0.826946596
09:10:00,0.9745821007
09:15:00,0.9244108597
09:20:00,0.9715863795
09:25:00,0.8293811832
09:30:00,0.8047462213
09:35:00,0.9014703931
09:40:00,0.990631168
09:45:00,0.8870247836
09:50:00,0.8573378255
09:55:00,0.8701816851
10:00:00,0.8153433462
10:05:00,0.8262473983
